Macro_Cycle,Depletion_Limit,Relative_L2_Error
100.0,0.1,0.0077073826
100.0,0.2,0.0074133757
100.0,0.3,0.0070943064
100.0,0.4,0.0067481645
100.0,0.5,0.0063718962
100.0,0.6,0.0059691705
100.0,0.7,0.0055113146
100.0,0.8,0.005059202
100.0,0.9,0.004522662
250,0.1,0.021106068
250,0.2,0.020440683
250,0.3,0.019725833
250,0.4,0.01907209
250,0.5,0.018001623
250,0.6,0.01778787
250,0.7,0.016755281
250,0.8,0.018270029
250,0.9,0.016864108
500.0,0.1,0.04927889
500.0,0.2,0.043826826
500.0,0.3,0.038530078
500.0,0.4,0.03718889
500.0,0.5,0.03447854
500.0,0.6,0.034900896
500.0,0.7,0.032544926
500.0,0.8,0.04680043
500.0,0.9,0.045833625
1000.0,0.1,0.11011283
1000.0,0.2,0.10309423
1000.0,0.3,0.09352929
1000.0,0.4,0.08266045
1000.0,0.5,0.06736707
1000.0,0.6,0.05645136
1000.0,0.7,0.05064132
1000.0,0.8,0.10810581
1000.0,0.9,0.107065365
2500.0,0.1,0.07880038
2500.0,0.2,0.07992186
2500.0,0.3,0.08146673
2500.0,0.4,0.083105795
2500.0,0.5,0.0854872
2500.0,0.6,0.086755864
2500.0,0.7,0.08975406
2500.0,0.8,0.07868908
2500.0,0.9,0.07972834
5000.0,0.1,0.39768648
5000.0,0.2,0.39848137
5000.0,0.3,0.39957196
5000.0,0.4,0.4007229
5000.0,0.5,0.40240574
5000.0,0.6,0.4032627
5000.0,0.7,0.40528524
5000.0,0.8,0.39760682
5000.0,0.9,0.3983257
